id,name,company_id,comment,website,create_date,color,active,street,supplier,city,display_name,zip,title,country_id,commercial_company_name,parent_id,company_name,employee,ref,email,is_company,function,lang,fax,street2,barcode,phone,write_date,date,tz,write_uid,customer,create_uid,credit_limit,user_id,mobile,type,partner_share,vat,state_id,commercial_partner_id,notify_email,message_last_post,opt_out,message_bounce,signup_type,signup_expiration,signup_token,team_id,debit_limit,last_time_entries_checked,invoice_warn_msg,invoice_warn,calendar_last_notif_ack,sale_warn_msg,sale_warn,picking_warn,picking_warn_msg,purchase_warn,purchase_warn_msg,main_id_number,main_id_category_id,gross_income_type,afip_responsability_type_id,gross_income_number,start_date,imp_ganancias_padron,actividad_monotributo_padron,integrante_soc_padron,last_update_padron,estado_padron,monotributo_padron,imp_iva_padron,empleador_padron,employee_id,drei,transport_id,contact_person,woo_customer_id,woo_company_name_ept,email_collections,apg_warn,apg_warn_msg,market_id,sale_quote_template_id,sale_discount
4879,Cliente 4879,1,,,9/11/18 21:06,0,TRUE,Direccion cliente 4879,FALSE,San Isidro,Cliente 4879,1642,,11,Empresa 4879,,,FALSE,,,TRUE,,es_AR,,,,,3/4/21 15:31,,America/Buenos_Aires,1,TRUE,7,,,,contact,TRUE,,553,4879,always,,FALSE,0,,,,,,,,no-message,,,warning,warning,,no-message,,,25,,1,,,,,,,,,,FALSE,,,,,,,,no-message,,7,,0
10943,Cliente 10943,1,,,3/30/20 11:08,0,TRUE,Direccion cliente 10943,FALSE,San Isidro,Cliente 10943,1642,,11,Empresa 10943,4879,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,America/Argentina/Buenos_Aires,1,FALSE,7,0,,,contact,TRUE,,553,4879,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,,,,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
7238,Cliente 7238,1,,,3/19/19 17:55,0,TRUE,Direccion cliente 7238,FALSE,San Isidro,Cliente 7238,1642,,11,Empresa 7238,4879,,FALSE,,,FALSE,Cuentas a pagar,es_AR,,,,,3/4/21 15:31,,America/Buenos_Aires,1,FALSE,7,0,,,contact,TRUE,,553,4879,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,,,,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
3409,Cliente 3409,,,,3/16/18 15:18,0,TRUE,Direccion cliente 3409,FALSE,CABA,Cliente 3409,,,11,Empresa 3409,2654,,FALSE,,,TRUE,,es_AR,,,,,3/4/21 15:31,,,1,FALSE,1,,,,delivery,TRUE,,,3409,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,25,,1,,,,,,,,,,FALSE,,,,,,,,no-message,,7,,0
2654,Cliente 2654,1,,,3/15/18 19:07,0,TRUE,Direccion cliente 2654,TRUE,Ciudad Autónoma de Buenos Aires,Cliente 2654,,,11,Empresa 2654,,,FALSE,,,TRUE,,es_AR,,,,,3/4/21 15:31,,,1,TRUE,1,,,,contact,TRUE,,552,2654,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,25,,1,,,,,,,,,,FALSE,,,,,,,,no-message,,7,59,0
3407,Cliente 3407,,,,3/16/18 15:18,0,TRUE,Direccion cliente 3407,FALSE,Ciudadela,Cliente 3407,,,11,Empresa 3407,2654,,FALSE,,,TRUE,,es_AR,,,,,3/4/21 15:31,,,1,FALSE,1,,,,delivery,TRUE,,553,3407,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,25,,1,,,,,,,,,,FALSE,,,,,,,,no-message,,7,,0
3408,Cliente 3408,,,,3/16/18 15:18,0,TRUE,Direccion cliente 3408,FALSE,Córdoba,Cliente 3408,,,11,Empresa 3408,2654,,FALSE,,,TRUE,,es_AR,,,,,3/4/21 15:31,,,1,FALSE,1,,,,delivery,TRUE,,,3408,always,,FALSE,,,,,,,,,no-message,,,no-message,warning,,no-message,,,25,,1,,,,,,,,,,FALSE,,,,,,,,no-message,,7,,0
10871,Cliente 10871,1,,,3/17/20 14:37,0,TRUE,Direccion cliente 10871,FALSE,Ciudad Autónoma de Buenos Aires,Cliente 10871,C1425BGC,,11,Empresa 10871,2654,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,America/Argentina/Buenos_Aires,1,FALSE,7,0,,,other,TRUE,,552,2654,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,,,,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
83454,Cliente 83454,1,,,12/21/20 14:35,0,TRUE,Direccion cliente 83454,TRUE,,Cliente 83454,,,,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,America/Argentina/Buenos_Aires,1,FALSE,6,,,,contact,TRUE,,,83454,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,25,,7,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
83904,Cliente 83904,1,,,2/23/21 12:10,0,TRUE,Direccion cliente 83904,FALSE,CABA,Cliente 83904,1425,,11,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,TRUE,1,,,,,TRUE,,553,83904,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,9,,0
